scan:1	SNR:6.77966	Cov:0.30303
scan:2	SNR:24.1379	Cov:0.318182
scan:3	SNR:5.06329	Cov:0.47619
scan:4	SNR:8.16327	Cov:0.470588
scan:5	SNR:10.4247	Cov:0.9
scan:6	SNR:6.34328	Cov:0.566667
scan:7	SNR:13.1034	Cov:0.263889
scan:8	SNR:4.64286	Cov:0.232143
scan:9	SNR:4.54545	Cov:0.25
scan:10	SNR:7.08955	Cov:0.678571
scan:11	SNR:5.33881	Cov:0.5
scan:12	SNR:4.37018	Cov:0.53125
scan:13	SNR:13.587	Cov:0.625
scan:14	SNR:6.35593	Cov:0.576923
scan:15	SNR:10	Cov:0.289474
scan:16	SNR:13.7755	Cov:0.75
scan:17	SNR:2.48869	Cov:0.203704
scan:18	SNR:8.83392	Cov:0.416667
scan:19	SNR:5.29801	Cov:0.363636
scan:20	SNR:7.40741	Cov:0.380952
scan:21	SNR:6.93878	Cov:0.314815
scan:22	SNR:5.14469	Cov:0.4
scan:23	SNR:11.3772	Cov:0.287879
scan:24	SNR:4.15755	Cov:0.413043
scan:25	SNR:8.11808	Cov:0.52381
scan:26	SNR:2.80112	Cov:0.217391
scan:27	SNR:8.7156	Cov:0.452381
scan:28	SNR:14.7287	Cov:0.730769
scan:29	SNR:6.98529	Cov:0.475
scan:30	SNR:13.6585	Cov:0.608696
scan:31	SNR:8.91473	Cov:0.884615
scan:32	SNR:9.30233	Cov:0.148148
scan:33	SNR:3.38164	Cov:0.269231
scan:34	SNR:4.2328	Cov:0.571429
scan:35	SNR:6.60793	Cov:0.394737
scan:36	SNR:7.98319	Cov:0.296875
scan:37	SNR:12.931	Cov:0.46875
scan:38	SNR:4.72973	Cov:0.35
scan:39	SNR:9.81818	Cov:0.75
scan:40	SNR:7.06806	Cov:0.794118
scan:41	SNR:6.20155	Cov:0.857143
scan:42	SNR:5.30035	Cov:0.288462
scan:43	SNR:5.22727	Cov:0.547619
scan:44	SNR:16.5644	Cov:0.642857
scan:45	SNR:7.35294	Cov:0.543478
scan:46	SNR:8.98438	Cov:0.676471
scan:47	SNR:5.32787	Cov:0.270833
scan:48	SNR:8.37696	Cov:0.888889
scan:49	SNR:5.61798	Cov:0.384615
scan:50	SNR:5.06329	Cov:0.380952
scan:51	SNR:8.5034	Cov:0.833333
scan:52	SNR:6.20347	Cov:0.416667
scan:53	SNR:4.54545	Cov:0.452381
scan:54	SNR:10.0503	Cov:0.833333
scan:55	SNR:13.2743	Cov:0.192308
scan:56	SNR:7.30897	Cov:0.458333
scan:57	SNR:10.0457	Cov:0.458333
scan:58	SNR:12.1387	Cov:0.328125
scan:59	SNR:21.4815	Cov:0.630435
scan:60	SNR:10.4072	Cov:0.396552
scan:61	SNR:3.16901	Cov:0.409091
scan:62	SNR:6.13718	Cov:0.708333
scan:63	SNR:3.8835	Cov:0.727273
scan:64	SNR:8.13953	Cov:0.482759
scan:65	SNR:5.74324	Cov:0.53125
scan:66	SNR:6.1008	Cov:0.522727
scan:67	SNR:8.59107	Cov:0.390625
scan:68	SNR:4.30464	Cov:0.342105
scan:69	SNR:16.6667	Cov:0.75
scan:70	SNR:17.0213	Cov:0.428571
scan:71	SNR:16.5049	Cov:0.303571
scan:72	SNR:4.95356	Cov:0.380952
scan:73	SNR:19.5312	Cov:0.5
scan:74	SNR:10	Cov:0.636364
scan:75	SNR:11.1111	Cov:0.6
scan:76	SNR:5.90164	Cov:0.321429
scan:77	SNR:6.10329	Cov:0.270833
scan:78	SNR:11.8143	Cov:0.736842
scan:79	SNR:6.41026	Cov:0.535714
scan:80	SNR:10.7438	Cov:0.619048
scan:81	SNR:7.30994	Cov:0.543478
scan:82	SNR:3.59116	Cov:0.325
scan:83	SNR:5.91398	Cov:0.22
scan:84	SNR:9.54545	Cov:0.552632
scan:85	SNR:4.02685	Cov:0.25
scan:86	SNR:5.5336	Cov:0.35
scan:87	SNR:11.1554	Cov:0.451613
scan:88	SNR:9.41704	Cov:0.617647
scan:89	SNR:5.45455	Cov:1
scan:90	SNR:6.34921	Cov:0.666667
scan:91	SNR:8.66667	Cov:0.722222
scan:92	SNR:5.26316	Cov:0.525
scan:93	SNR:8.33333	Cov:0.413793
scan:94	SNR:4.43038	Cov:0.7
scan:95	SNR:11.7155	Cov:0.7
scan:96	SNR:7.97101	Cov:0.478261
scan:97	SNR:7.92951	Cov:0.642857
scan:98	SNR:11.3636	Cov:0.588235
scan:99	SNR:3.82775	Cov:0.125
scan:100	SNR:13.2979	Cov:0.694444
scan:101	SNR:3.71622	Cov:0.423077
scan:102	SNR:14.4578	Cov:0.333333
scan:103	SNR:5.40541	Cov:0.666667
scan:104	SNR:24.2105	Cov:0.522727
scan:105	SNR:5.69106	Cov:0.304348
scan:106	SNR:7.31707	Cov:0.571429
scan:107	SNR:5.41311	Cov:0.452381
scan:108	SNR:6.63616	Cov:0.517857
scan:109	SNR:5.90717	Cov:0.291667
scan:110	SNR:5.86207	Cov:0.425
scan:111	SNR:7.40741	Cov:0.642857
scan:112	SNR:3.24484	Cov:0.196429
scan:113	SNR:6.89655	Cov:0.5
scan:114	SNR:3.77358	Cov:0.212121
scan:115	SNR:3.15186	Cov:0.261905
scan:116	SNR:3.68421	Cov:0.35
scan:117	SNR:4.42804	Cov:0.193548
scan:118	SNR:7.48899	Cov:0.566667
scan:119	SNR:4.77707	Cov:0.3
scan:120	SNR:3.8055	Cov:0.333333
scan:121	SNR:3.38462	Cov:0.183333
scan:122	SNR:4.26667	Cov:0.285714
scan:123	SNR:13.4146	Cov:0.157143
scan:124	SNR:7.16418	Cov:0.444444
scan:125	SNR:6.91824	Cov:0.392857
scan:126	SNR:6.89655	Cov:0.625
scan:127	SNR:5.14469	Cov:0.421053
scan:128	SNR:7.48299	Cov:0.578947
scan:129	SNR:6.39731	Cov:0.475
scan:130	SNR:4.63158	Cov:0.458333
scan:131	SNR:11.0092	Cov:0.705882
scan:132	SNR:4.91329	Cov:0.386364
scan:133	SNR:12.0482	Cov:0.285714
scan:134	SNR:6.4	Cov:0.888889
scan:135	SNR:7.20339	Cov:0.53125
scan:136	SNR:5.41516	Cov:0.277778
scan:137	SNR:10.2564	Cov:0.413793
scan:138	SNR:5.33981	Cov:0.22
scan:139	SNR:4.4665	Cov:0.219512
scan:140	SNR:10.4265	Cov:0.647059
scan:141	SNR:9.09091	Cov:0.5
scan:142	SNR:10.9489	Cov:0.234375
scan:143	SNR:10.6557	Cov:0.433333
scan:144	SNR:5.10949	Cov:0.456522
scan:145	SNR:18.1818	Cov:0.222222
scan:146	SNR:7.24638	Cov:0.576923
scan:147	SNR:7.63636	Cov:0.875
scan:148	SNR:7.56757	Cov:0.21875
scan:149	SNR:8.66426	Cov:0.75
scan:150	SNR:8.53659	Cov:0.538462
scan:151	SNR:5.6338	Cov:0.195122
scan:152	SNR:5.88235	Cov:0.35
scan:153	SNR:7.03125	Cov:0.28125
scan:154	SNR:5.45455	Cov:0.352941
scan:155	SNR:4.5045	Cov:0.25
scan:156	SNR:4.46009	Cov:0.413043
scan:157	SNR:4.53515	Cov:0.526316
scan:158	SNR:11.5607	Cov:0.322581
scan:159	SNR:5.19481	Cov:0.444444
scan:160	SNR:6.09756	Cov:0.185185
scan:161	SNR:4.22078	Cov:0.382353
